"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2024","147.35","146.90","148.36","146.20","17.77M","1.45%"
"01/05/2024","145.24","144.69","146.59","144.53","45.15M","0.46%"
"01/04/2024","144.57","145.59","147.38","144.05","55.82M","-2.63%"
"01/03/2024","148.47","149.20","151.05","148.33","46.91M","-0.97%"
"01/02/2024","149.93","151.54","152.38","148.39","45.26M","-1.32%"
"12/29/2023","151.94","153.10","153.89","151.03","39.82M","-0.94%"
"12/28/2023","153.38","153.72","154.08","152.95","26.82M","0.03%"
"12/27/2023","153.34","153.56","154.78","153.12","31.24M","-0.05%"
"12/26/2023","153.41","153.56","153.98","153.03","24.87M","-0.01%"
"12/22/2023","153.42","153.77","154.35","152.71","29.51M","-0.27%"
"12/21/2023","153.84","153.30","153.97","152.10","35.95M","1.13%"
"12/20/2023","152.12","152.90","155.63","151.56","50.00M","-1.09%"
"12/19/2023","153.79","154.40","155.12","152.69","42.89M","-0.18%"
"12/18/2023","154.07","150.56","154.85","150.05","62.51M","2.73%"
"12/15/2023","149.97","148.38","150.57","147.88","110.09M","1.73%"
"12/14/2023","147.42","149.93","150.54","145.52","57.94M","-0.95%"
"12/13/2023","148.84","148.12","149.46","146.82","51.65M","0.92%"
"12/12/2023","147.48","145.52","147.50","145.30","43.40M","1.09%"
"12/11/2023","145.89","145.66","146.19","143.64","48.40M","-1.04%"
"12/08/2023","147.42","145.48","147.84","145.40","41.91M","0.37%"
"12/07/2023","146.88","146.15","147.92","145.34","49.51M","1.63%"
"12/06/2023","144.52","147.58","147.85","144.28","39.68M","-1.61%"
"12/05/2023","146.88","143.55","148.57","143.13","46.39M","1.41%"
"12/04/2023","144.84","145.25","145.35","142.81","47.81M","-1.49%"
"12/01/2023","147.03","146.00","147.24","145.55","39.95M","0.64%"
"11/30/2023","146.09","144.76","146.93","144.33","64.32M","-0.16%"
"11/29/2023","146.32","147.85","148.54","145.97","38.76M","-0.48%"
"11/28/2023","147.03","146.98","147.60","145.53","41.27M","-0.47%"
"11/27/2023","147.73","147.53","149.26","146.88","52.38M","0.67%"
"11/24/2023","146.74","146.70","147.20","145.32","21.62M","0.02%"
"11/22/2023","146.71","144.57","147.74","144.57","45.70M","1.95%"
"11/21/2023","143.90","143.91","144.05","141.50","71.23M","-1.53%"
"11/20/2023","146.13","145.13","146.63","144.73","41.98M","0.65%"
"11/17/2023","145.18","142.66","145.23","142.54","49.68M","1.65%"
"11/16/2023","142.83","140.91","143.32","139.52","49.65M","-0.26%"
"11/15/2023","143.20","147.06","147.29","142.59","63.26M","-1.78%"
"11/14/2023","145.80","145.00","147.26","144.68","56.43M","2.25%"
"11/13/2023","142.59","142.08","143.23","140.67","35.24M","-0.68%"
"11/10/2023","143.56","140.46","143.65","139.91","49.35M","2.11%"
"11/09/2023","140.60","142.02","142.65","139.84","35.50M","-1.04%"
"11/08/2023","142.08","142.97","143.12","141.22","43.57M","-0.44%"
"11/07/2023","142.71","140.55","143.37","140.50","53.67M","2.13%"
"11/06/2023","139.74","138.76","140.73","138.36","44.41M","0.82%"
"11/03/2023","138.60","138.99","139.49","137.45","44.06M","0.38%"
"11/02/2023","138.07","138.73","138.81","136.47","51.57M","0.78%"
"11/01/2023","137.00","133.96","137.35","133.71","61.53M","2.94%"
"10/31/2023","133.09","132.75","133.57","131.71","48.97M","0.29%"
"10/30/2023","132.71","129.72","133.00","128.56","72.03M","3.89%"
"10/27/2023","127.74","126.20","130.02","125.52","125.31M","6.83%"
"10/26/2023","119.57","120.63","121.64","118.35","83.67M","-1.50%"
"10/25/2023","121.39","126.04","126.34","120.79","72.53M","-5.58%"
"10/24/2023","128.56","127.74","128.80","126.34","44.47M","1.58%"
"10/23/2023","126.56","124.63","127.88","123.98","46.69M","1.11%"
"10/20/2023","125.17","128.05","128.17","124.97","56.41M","-2.52%"
"10/19/2023","128.40","130.57","132.24","127.47","59.61M","0.21%"
"10/18/2023","128.13","129.90","130.67","127.51","42.13M","-2.54%"
"10/17/2023","131.47","130.39","132.58","128.71","48.17M","-0.81%"
"10/16/2023","132.55","130.69","133.07","130.43","42.36M","2.13%"
"10/13/2023","129.79","132.98","133.31","128.95","45.83M","-1.92%"
"10/12/2023","132.33","132.17","134.48","131.23","54.96M","0.38%"
"10/11/2023","131.83","129.74","132.05","129.61","40.52M","1.81%"
"10/10/2023","129.48","128.82","130.74","128.05","40.37M","0.95%"
"10/09/2023","128.26","126.22","128.79","124.76","38.77M","0.23%"
"10/06/2023","127.96","124.16","128.45","124.13","46.84M","1.59%"
"10/05/2023","125.96","126.71","126.73","124.33","39.59M","-0.82%"
"10/04/2023","127.00","126.06","127.36","125.68","44.08M","1.83%"
"10/03/2023","124.72","128.06","128.52","124.25","50.20M","-3.66%"
"10/02/2023","129.46","127.28","130.47","126.54","48.03M","1.84%"
"09/29/2023","127.12","128.20","129.15","126.32","62.41M","0.90%"
"09/28/2023","125.98","124.04","126.58","123.04","53.84M","0.00%"
"09/27/2023","125.98","125.76","127.48","124.13","65.91M","0.00%"
"09/26/2023","125.98","130.12","130.39","125.28","70.26M","-4.03%"
"09/25/2023","131.27","129.36","131.78","128.77","45.42M","1.67%"
"09/22/2023","129.12","131.11","132.03","128.52","59.90M","-0.16%"
"09/21/2023","129.33","131.94","132.24","129.31","68.13M","-4.41%"
"09/20/2023","135.29","138.55","139.37","135.20","44.02M","-1.70%"
"09/19/2023","137.63","138.70","138.84","135.56","60.92M","-1.68%"
"09/18/2023","139.98","140.48","141.75","139.22","40.65M","-0.29%"
"09/15/2023","140.39","142.69","143.57","140.09","102.91M","-2.99%"
"09/14/2023","144.72","145.08","145.86","142.95","62.98M","-0.09%"
"09/13/2023","144.85","140.95","144.98","140.87","59.68M","2.56%"
"09/12/2023","141.23","142.32","143.00","140.61","41.88M","-1.31%"
"09/11/2023","143.10","138.75","143.62","138.64","56.36M","3.52%"
"09/08/2023","138.23","136.86","138.85","136.75","38.37M","0.28%"
"09/07/2023","137.85","133.90","138.03","133.16","46.10M","1.84%"
"09/06/2023","135.36","136.32","137.45","134.61","39.29M","-1.39%"
"09/05/2023","137.27","137.73","137.80","135.82","40.00M","-0.62%"
"09/01/2023","138.12","139.46","139.96","136.88","40.99M","0.08%"
"08/31/2023","138.01","135.06","138.79","135.00","58.30M","2.18%"
"08/30/2023","135.07","134.93","135.68","133.92","35.17M","0.12%"
"08/29/2023","134.91","133.38","135.14","133.25","38.36M","1.33%"
"08/28/2023","133.14","133.78","133.95","131.85","33.44M","-0.09%"
"08/25/2023","133.26","132.47","133.87","130.58","44.15M","1.08%"
"08/24/2023","131.84","136.40","136.77","131.83","41.60M","-2.72%"
"08/23/2023","135.52","134.50","135.95","133.22","40.90M","0.95%"
"08/22/2023","134.25","135.08","135.65","133.73","32.54M","-0.32%"
"08/21/2023","134.68","133.74","135.18","132.71","40.74M","1.10%"
"08/18/2023","133.22","131.62","134.07","131.15","48.50M","-0.57%"
"08/17/2023","133.98","135.46","136.09","133.53","46.97M","-0.81%"
"08/16/2023","135.07","137.19","137.27","135.01","41.36M","-1.89%"
"08/15/2023","137.67","140.05","141.28","137.23","42.59M","-2.06%"
"08/14/2023","140.57","138.30","140.59","137.75","47.15M","1.56%"
"08/11/2023","138.41","137.40","139.33","137.00","42.91M","-0.11%"
"08/10/2023","138.56","139.07","140.41","137.49","54.38M","0.52%"
"08/09/2023","137.85","139.97","140.32","137.10","48.58M","-1.49%"
"08/08/2023","139.94","140.62","140.84","138.42","51.53M","-1.60%"
"08/07/2023","142.22","140.99","142.54","138.95","71.21M","1.90%"
"08/04/2023","139.57","141.06","143.63","139.32","153.13M","8.27%"
"08/03/2023","128.91","127.48","129.84","126.41","78.43M","0.55%"
"08/02/2023","128.21","130.15","130.23","126.82","50.09M","-2.64%"
"08/01/2023","131.69","133.55","133.69","131.62","41.36M","-1.49%"
"07/31/2023","133.68","133.20","133.87","132.38","41.52M","1.11%"
"07/28/2023","132.21","129.69","133.01","129.33","46.32M","3.09%"
"07/27/2023","128.25","131.00","132.63","127.79","52.61M","0.08%"
"07/26/2023","128.15","126.51","129.08","126.11","53.91M","-0.76%"
"07/25/2023","129.13","129.31","129.58","128.53","39.24M","0.26%"
"07/24/2023","128.80","130.30","131.66","128.35","41.74M","-0.92%"
"07/21/2023","130.00","131.34","131.37","128.41","133.31M","0.03%"
"07/20/2023","129.96","134.07","134.79","129.33","59.82M","-3.99%"
"07/19/2023","135.36","133.39","135.99","132.53","54.53M","1.90%"
"07/18/2023","132.83","132.71","133.86","131.35","54.32M","-0.55%"
"07/17/2023","133.56","134.56","135.62","133.21","47.80M","-0.83%"
"07/14/2023","134.68","134.06","136.65","134.06","54.49M","0.28%"
"07/13/2023","134.30","134.04","134.67","132.71","61.17M","2.68%"
"07/12/2023","130.80","130.31","131.26","128.83","53.34M","1.57%"
"07/11/2023","128.78","127.75","129.77","127.35","49.25M","1.30%"
"07/10/2023","127.13","129.07","129.28","125.92","61.45M","-2.04%"
"07/07/2023","129.78","128.59","130.97","128.13","41.99M","1.11%"
"07/06/2023","128.36","128.25","128.73","127.37","39.69M","-1.55%"
"07/05/2023","130.38","130.24","131.40","129.64","34.74M","0.12%"
"07/03/2023","130.22","130.93","131.84","130.08","28.26M","-0.11%"
"06/30/2023","130.36","129.47","131.24","128.95","54.35M","1.92%"
"06/29/2023","127.90","128.77","129.26","127.25","40.48M","-0.88%"
"06/28/2023","129.04","128.94","131.48","128.44","50.96M","-0.11%"
"06/27/2023","129.18","128.63","130.09","127.55","46.39M","1.45%"
"06/26/2023","127.33","129.33","131.49","127.10","59.59M","-1.55%"
"06/23/2023","129.33","129.11","130.84","128.28","71.93M","-0.63%"
"06/22/2023","130.15","125.31","130.33","125.14","87.86M","4.26%"
"06/21/2023","124.83","125.64","126.73","123.85","52.14M","-0.76%"
"06/20/2023","125.78","124.97","127.25","124.50","55.09M","0.23%"
"06/16/2023","125.49","127.71","127.90","125.30","84.25M","-1.27%"
"06/15/2023","127.11","125.21","127.69","124.32","59.00M","0.55%"
"06/14/2023","126.42","126.70","126.95","124.12","50.30M","-0.19%"
"06/13/2023","126.66","128.12","128.41","125.18","50.17M","0.07%"
"06/12/2023","126.57","124.02","126.78","123.53","51.05M","2.54%"
"06/09/2023","123.43","124.08","125.80","123.19","51.40M","-0.66%"
"06/08/2023","124.25","123.01","125.63","122.26","62.16M","2.49%"
"06/07/2023","121.23","127.01","127.36","120.63","95.66M","-4.25%"
"06/06/2023","126.61","125.07","127.40","125.00","45.21M","1.05%"
"06/05/2023","125.30","123.36","125.80","123.03","47.17M","0.85%"
"06/02/2023","124.25","124.92","126.39","124.01","61.26M","1.21%"
"06/01/2023","122.77","120.69","123.49","119.93","53.78M","1.82%"
"05/31/2023","120.58","121.45","122.04","119.17","71.77M","-0.89%"
"05/30/2023","121.66","122.37","122.92","119.86","63.76M","1.29%"
"05/26/2023","120.11","116.04","121.50","116.02","96.78M","4.44%"
"05/25/2023","115.00","116.63","116.87","114.31","64.21M","-1.50%"
"05/24/2023","116.75","115.35","117.34","115.02","61.38M","1.53%"
"05/23/2023","114.99","114.27","117.14","113.78","62.46M","-0.02%"
"05/22/2023","115.01","116.77","116.77","114.25","70.37M","-1.07%"
"05/19/2023","116.25","118.16","118.31","115.70","55.06M","-1.61%"
"05/18/2023","118.15","116.69","118.60","116.33","69.90M","2.29%"
"05/17/2023","115.50","114.89","115.83","114.22","65.66M","1.85%"
"05/16/2023","113.40","111.05","114.79","111.05","71.47M","1.98%"
"05/15/2023","111.20","111.15","112.29","109.25","52.75M","0.85%"
"05/12/2023","110.26","112.16","112.64","109.32","49.85M","-1.71%"
"05/11/2023","112.18","111.03","113.28","110.49","74.93M","1.81%"
"05/10/2023","110.19","108.10","110.67","108.05","78.63M","3.35%"
"05/09/2023","106.62","105.48","106.79","105.16","44.09M","0.75%"
"05/08/2023","105.83","105.04","106.10","104.70","49.43M","0.17%"
"05/05/2023","105.65","104.27","105.76","103.55","56.95M","1.59%"
"05/04/2023","104.00","104.04","105.39","103.31","44.70M","0.34%"
"05/03/2023","103.65","103.74","105.96","103.28","64.63M","0.02%"
"05/02/2023","103.63","101.47","103.90","101.15","73.47M","1.55%"
"05/01/2023","102.05","104.95","105.23","101.82","73.18M","-3.22%"
"04/28/2023","105.45","107.73","109.48","104.33","130.72M","-3.98%"
"04/27/2023","109.82","108.16","110.86","106.80","129.44M","4.61%"
"04/26/2023","104.98","105.04","106.62","104.10","71.82M","2.35%"
"04/25/2023","102.57","104.91","105.45","102.45","61.69M","-3.43%"
"04/24/2023","106.21","107.65","109.23","105.07","68.61M","-0.70%"
"04/21/2023","106.96","106.10","108.15","105.08","86.77M","3.03%"
"04/20/2023","103.81","103.53","105.25","103.21","57.70M","-0.47%"
"04/19/2023","104.30","101.58","105.12","101.39","58.15M","1.96%"
"04/18/2023","102.30","103.95","104.20","101.52","39.41M","-0.43%"
"04/17/2023","102.74","103.16","103.73","101.59","39.92M","0.22%"
"04/14/2023","102.51","102.07","103.20","101.11","51.45M","0.11%"
"04/13/2023","102.40","98.95","102.57","98.71","67.36M","4.67%"
"04/12/2023","97.83","100.40","100.51","97.71","56.35M","-2.09%"
"04/11/2023","99.92","100.80","101.00","99.01","60.12M","-2.20%"
"04/10/2023","102.17","100.96","102.20","99.57","37.00M","0.11%"
"04/06/2023","102.06","100.75","102.38","99.80","43.81M","0.95%"
"04/05/2023","101.10","103.91","103.91","100.75","44.76M","-2.74%"
