Date,Price,,,,,
3/8/24,35.6,,,,,
3/7/24,35.63,,,,,
3/6/24,35.42,,,,,
3/5/24,35.39,,,,,
3/4/24,35.15,,,,,
3/1/24,34.35,,,,,
2/29/24,34.52,,,,,
2/28/24,34.31,,,,,
2/27/24,34.28,,,,,
2/26/24,33.61,,,,,
2/23/24,33.92,,,,,
2/22/24,33.61,,,,,
2/21/24,33.7,,,,,
2/20/24,33.96,,,,,
2/16/24,34.09,,,,,
2/15/24,34.07,,,,,
2/14/24,33.13,,,,,
2/13/24,32.75,,,,,
2/12/24,33.62,,,,,
2/9/24,33.07,,,,,
2/8/24,33.12,,,,,
2/7/24,33.18,,,,,
2/6/24,33.04,,,,,
2/5/24,32.99,,,,,
2/2/24,33.47,,,,,
2/1/24,33.55,,,,,
1/31/24,34.01,,,,,
1/30/24,34.79,,,,,
1/29/24,33.61,,,,,
1/26/24,33.43,,,,,
1/25/24,33.39,,,,,
1/24/24,32.98,,,,,
1/23/24,32.77,,,,,
1/22/24,32.55,,,,,
1/19/24,32.22,,,,,
1/18/24,31.73,,,,,
1/17/24,31.8,,,,,
1/16/24,32.12,,,,,
1/12/24,32.8,,,,,
1/11/24,33.15,,,,,
1/10/24,33.6,,,,,
1/9/24,33.63,,,,,
1/8/24,34.16,,,,,
1/5/24,34.43,,,,,
1/4/24,33.8,,,,,
1/3/24,33.53,,,,,
1/2/24,33.9,,,,,
12/29/23,33.67,,,,,
12/28/23,33.88,,,,,
12/27/23,33.84,,,,,
12/26/23,33.86,,,,,
12/22/23,33.43,,,,,
12/21/23,33.2,,,,,
12/20/23,32.98,,,,,
12/19/23,33.51,,,,,
12/18/23,33.43,,,,,
12/15/23,33.6,,,,,
12/14/23,33.94,,,,,
12/13/23,32.04,,,,,
12/12/23,30.74,,,,,
12/11/23,30.85,,,,,
12/8/23,30.96,,,,,
12/7/23,30.66,,,,,
12/6/23,30.53,,,,,
12/5/23,30.58,,,,,
12/4/23,30.82,,,,,
12/1/23,30.96,,,,,
11/30/23,30.49,,,,,
11/29/23,30.31,,,,,
11/28/23,29.53,,,,,
11/27/23,29.56,,,,,
11/24/23,29.73,,,,,
11/22/23,29.63,,,,,
11/21/23,29.66,,,,,
11/20/23,30.01,,,,,
11/17/23,29.98,,,,,
11/16/23,29.54,,,,,
11/15/23,29.62,,,,,
11/14/23,29.22,,,,,
11/13/23,27.7,,,,,
11/10/23,27.68,,,,,
11/9/23,27.53,,,,,
11/8/23,27.89,,,,,
11/7/23,28.16,,,,,
11/6/23,28.33,,,,,
11/3/23,28.42,,,,,
11/2/23,27.62,,,,,
11/1/23,26.4,,,,,
10/31/23,26.34,,,,,
10/30/23,25.69,,,,,
10/27/23,25.17,,,,,
10/26/23,26.12,,,,,
10/25/23,25.55,,,,,
10/24/23,25.47,,,,,
10/23/23,25.57,,,,,
10/20/23,26.31,,,,,
10/19/23,26.96,,,,,
10/18/23,27.31,,,,,
10/17/23,27.62,,,,,
10/16/23,26.99,,,,,
10/13/23,26.76,,,,,
10/12/23,26.9,,,,,
10/11/23,27.02,,,,,
10/10/23,27.01,,,,,
10/9/23,26.31,,,,,
10/6/23,26.07,,,,,
10/5/23,26.06,,,,,
10/4/23,25.94,,,,,
10/3/23,25.91,,,,,
10/2/23,26.7,,,,,
9/29/23,27.38,,,,,
9/28/23,27.56,,,,,
9/27/23,27.27,,,,,
9/26/23,27.17,,,,,
9/25/23,27.6,,,,,
9/22/23,27.64,,,,,
9/21/23,28.05,,,,,
9/20/23,28.55,,,,,
9/19/23,28.65,,,,,
9/18/23,28.76,,,,,
9/15/23,28.84,,,,,
9/14/23,29.2,,,,,
9/13/23,28.88,,,,,
9/12/23,28.97,,,,,
9/11/23,28.48,,,,,
9/8/23,28.36,,,,,
9/7/23,28.13,,,,,
9/6/23,28.39,,,,,
9/5/23,28.65,,,,,
9/1/23,28.98,,,,,
8/31/23,28.67,,,,,
8/30/23,29.04,,,,,
8/29/23,29.17,,,,,
8/28/23,28.76,,,,,
8/25/23,28.5,,,,,
8/24/23,28.62,,,,,
8/23/23,28.45,,,,,
8/22/23,28.44,,,,,
