Date,Price,,,,,
3/8/24,386.99,,,,,
3/7/24,388.43,,,,,
3/6/24,389.57,,,,,
3/5/24,390.91,,,,,
3/4/24,392.25,,,,,
3/1/24,388.1,,,,,
2/29/24,389.05,,,,,
2/28/24,393.18,,,,,
2/27/24,390.81,,,,,
2/26/24,390.22,,,,,
2/23/24,391.05,,,,,
2/22/24,390.47,,,,,
2/21/24,388.27,,,,,
2/20/24,384.52,,,,,
2/16/24,384.44,,,,,
2/15/24,385.42,,,,,
2/14/24,378.04,,,,,
2/13/24,378.75,,,,,
2/12/24,392.64,,,,,
2/9/24,384.26,,,,,
2/8/24,385.04,,,,,
2/7/24,386.66,,,,,
2/6/24,384.99,,,,,
2/5/24,383.02,,,,,
2/2/24,387.86,,,,,
2/1/24,383.85,,,,,
1/31/24,384.01,,,,,
1/30/24,386.87,,,,,
1/29/24,380.56,,,,,
1/26/24,377.79,,,,,
1/25/24,382.7,,,,,
1/24/24,379.4,,,,,
1/23/24,380.77,,,,,
1/22/24,385.96,,,,,
1/19/24,382.2,,,,,
1/18/24,376.91,,,,,
1/17/24,377.18,,,,,
1/16/24,380.45,,,,,
1/12/24,377.75,,,,,
1/11/24,379.75,,,,,
1/10/24,381.96,,,,,
1/9/24,383.74,,,,,
1/8/24,388.86,,,,,
1/5/24,386.44,,,,,
1/4/24,382.95,,,,,
1/3/24,381.79,,,,,
1/2/24,388.3,,,,,
12/29/23,385.77,,,,,
12/28/23,386.41,,,,,
12/27/23,384.48,,,,,
12/26/23,381.61,,,,,
12/22/23,380.65,,,,,
12/21/23,380.57,,,,,
12/20/23,377.52,,,,,
12/19/23,382.45,,,,,
12/18/23,376.4,,,,,
12/15/23,380.51,,,,,
12/14/23,383.47,,,,,
12/13/23,362.73,,,,,
12/12/23,352.61,,,,,
12/11/23,351.76,,,,,
12/8/23,350.83,,,,,
12/7/23,344.62,,,,,
12/6/23,341.97,,,,,
12/5/23,341.75,,,,,
12/4/23,349.39,,,,,
12/1/23,348.43,,,,,
11/30/23,341.54,,,,,
11/29/23,340.26,,,,,
11/28/23,337.65,,,,,
11/27/23,337.71,,,,,
11/24/23,339.15,,,,,
11/22/23,338.64,,,,,
11/21/23,334.97,,,,,
11/20/23,339.45,,,,,
11/17/23,339.19,,,,,
11/16/23,336.67,,,,,
11/15/23,337.6,,,,,
11/14/23,338.72,,,,,
11/13/23,326.91,,,,,
11/10/23,325.51,,,,,
11/9/23,320.78,,,,,
11/8/23,324.56,,,,,
11/7/23,323.95,,,,,
11/6/23,323.91,,,,,
11/3/23,327.62,,,,,
11/2/23,313.76,,,,,
11/1/23,307.16,,,,,
10/31/23,303.61,,,,,
10/30/23,300.83,,,,,
10/27/23,289.91,,,,,
10/26/23,296.99,,,,,
10/25/23,296.76,,,,,
10/24/23,299.18,,,,,
10/23/23,299.22,,,,,
10/20/23,300.05,,,,,
10/19/23,299.19,,,,,
10/18/23,301.96,,,,,
10/17/23,309.36,,,,,
10/16/23,314.39,,,,,
10/13/23,309.3,,,,,
10/12/23,309.85,,,,,
10/11/23,313.02,,,,,
10/10/23,314.77,,,,,
10/9/23,312.61,,,,,
10/6/23,312.48,,,,,
10/5/23,310.5,,,,,
10/4/23,308.6,,,,,
10/3/23,306.12,,,,,
10/2/23,318.5,,,,,
9/29/23,323.57,,,,,
9/28/23,325.2,,,,,
9/27/23,321.95,,,,,
9/26/23,323.82,,,,,
9/25/23,328.84,,,,,
9/22/23,327.89,,,,,
9/21/23,330.24,,,,,
9/20/23,336.7,,,,,
9/19/23,341.89,,,,,
9/18/23,343.32,,,,,
9/15/23,342.54,,,,,
9/14/23,344.57,,,,,
9/13/23,334.98,,,,,
9/12/23,330.9,,,,,
9/11/23,324.65,,,,,
9/8/23,325.52,,,,,
9/7/23,321.96,,,,,
9/6/23,321.13,,,,,
9/5/23,323.75,,,,,
9/1/23,327.4,,,,,
8/31/23,327.71,,,,,
8/30/23,328.58,,,,,
8/29/23,332.55,,,,,
8/28/23,325.97,,,,,
8/25/23,320.15,,,,,
8/24/23,319.96,,,,,
8/23/23,322.33,,,,,
8/22/23,318.79,,,,,
8/21/23,322.06,,,,,
8/18/23,324.93,,,,,
8/17/23,327.52,,,,,
8/16/23,329.11,,,,,
8/15/23,332.21,,,,,
8/14/23,337.74,,,,,
8/11/23,340.73,,,,,
8/10/23,340.4,,,,,
8/9/23,342.69,,,,,
8/8/23,348.26,,,,,
8/7/23,355.56,,,,,
8/4/23,353.22,,,,,
8/3/23,353.16,,,,,
8/2/23,351.1,,,,,
8/1/23,357.72,,,,,
7/31/23,355.87,,,,,
7/28/23,353.23,,,,,
7/27/23,354.51,,,,,
7/26/23,357.56,,,,,
7/25/23,354.7,,,,,
7/24/23,358.93,,,,,
7/21/23,351.96,,,,,
7/20/23,350.86,,,,,
7/19/23,340.55,,,,,
7/18/23,337.27,,,,,
7/17/23,327.2,,,,,
7/14/23,326.19,,,,,
7/13/23,328.68,,,,,
7/12/23,326.4,,,,,
