Date,Price,,,,,
3/7/24,187.67,,,,,
3/6/24,189.53,,,,,
3/5/24,188.55,,,,,
3/4/24,186.68,,,,,
3/1/24,185.29,,,,,
2/29/24,186.06,,,,,
2/28/24,184.38,,,,,
2/27/24,183.45,,,,,
2/26/24,183.36,,,,,
2/23/24,183.99,,,,,
2/22/24,183.07,,,,,
2/21/24,180.9,,,,,
2/20/24,179.73,,,,,
2/16/24,179.03,,,,,
2/15/24,179.87,,,,,
2/14/24,176.03,,,,,
2/13/24,174.26,,,,,
2/12/24,175.79,,,,,
2/9/24,175.01,,,,,
2/8/24,174.8,,,,,
2/7/24,175.43,,,,,
2/6/24,175.1,,,,,
2/5/24,174.5,,,,,
2/2/24,174.73,,,,,
2/1/24,173.73,,,,,
1/31/24,174.36,,,,,
1/30/24,176.27,,,,,
1/29/24,172.73,,,,,
1/26/24,172.28,,,,,
1/25/24,172.94,,,,,
1/24/24,170.5,,,,,
1/23/24,168.99,,,,,
1/22/24,170.11,,,,,
1/19/24,170.31,,,,,
1/18/24,167.42,,,,,
1/17/24,167.09,,,,,
1/16/24,167.99,,,,,
1/12/24,169.05,,,,,
1/11/24,170.3,,,,,
1/10/24,171.02,,,,,
1/9/24,170.66,,,,,
1/8/24,172.02,,,,,
1/5/24,172.27,,,,,
1/4/24,171.41,,,,,
1/3/24,171.33,,,,,
1/2/24,172.08,,,,,
12/29/23,170.1,,,,,
12/28/23,170.3,,,,,
12/27/23,169.4,,,,,
12/26/23,168.39,,,,,
12/22/23,167.4,,,,,
12/21/23,167.5,,,,,
12/20/23,166.55,,,,,
12/19/23,168.45,,,,,
12/18/23,166.23,,,,,
12/15/23,165.23,,,,,
12/14/23,163.99,,,,,
12/13/23,161.06,,,,,
12/12/23,160.52,,,,,
12/11/23,159.1,,,,,
12/8/23,158.52,,,,,
12/7/23,156.79,,,,,
12/6/23,156.31,,,,,
12/5/23,157.97,,,,,
12/4/23,157.99,,,,,
12/1/23,156.84,,,,,
11/30/23,156.08,,,,,
11/29/23,154.32,,,,,
11/28/23,153.54,,,,,
11/27/23,153.19,,,,,
11/24/23,153.54,,,,,
11/22/23,153.33,,,,,
11/21/23,152.97,,,,,
11/20/23,153.29,,,,,
11/17/23,152.82,,,,,
11/16/23,151.45,,,,,
11/15/23,149.74,,,,,
11/14/23,148.44,,,,,
11/13/23,145.78,,,,,
11/10/23,146.43,,,,,
11/9/23,144.29,,,,,
11/8/23,144.72,,,,,
11/7/23,144.01,,,,,
11/6/23,144.08,,,,,
11/3/23,143,,,,,
11/2/23,141.42,,,,,
11/1/23,138.94,,,,,
10/31/23,139.06,,,,,
10/30/23,137.42,,,,,
10/27/23,135.69,,,,,
10/26/23,140.76,,,,,
10/25/23,140.4,,,,,
10/24/23,141.17,,,,,
10/23/23,141,,,,,
10/20/23,142.95,,,,,
10/19/23,145.29,,,,,
10/18/23,145.91,,,,,
10/17/23,147.53,,,,,
10/16/23,147.85,,,,,
10/13/23,148,,,,,
10/12/23,145.81,,,,,
10/11/23,146.15,,,,,
10/10/23,145.65,,,,,
10/9/23,144.77,,,,,
10/6/23,145.1,,,,,
10/5/23,142.9,,,,,
10/4/23,143.35,,,,,
10/3/23,142.71,,,,,
10/2/23,143.77,,,,,
9/29/23,145.02,,,,,
9/28/23,147.59,,,,,
9/27/23,145.78,,,,,
9/26/23,144.93,,,,,
9/25/23,146.45,,,,,
9/22/23,145.73,,,,,
9/21/23,147.14,,,,,
9/20/23,148.3,,,,,
9/19/23,148.93,,,,,
9/18/23,149.12,,,,,
9/15/23,148.81,,,,,
9/14/23,149.25,,,,,
9/13/23,146.41,,,,,
9/12/23,146.34,,,,,
9/11/23,144.46,,,,,
9/8/23,143.83,,,,,
9/7/23,143.72,,,,,
9/6/23,144.96,,,,,
9/5/23,145.2,,,,,
9/1/23,146.82,,,,,
8/31/23,146.33,,,,,
8/30/23,148.16,,,,,
8/29/23,148.76,,,,,
8/28/23,147.56,,,,,
8/25/23,147.05,,,,,
8/24/23,147.23,,,,,
8/23/23,147.37,,,,,
8/22/23,146.38,,,,,
8/21/23,149.48,,,,,
8/18/23,148.97,,,,,
8/17/23,148.63,,,,,
8/16/23,150.19,,,,,
8/15/23,150.83,,,,,
8/14/23,154.77,,,,,
8/11/23,154.45,,,,,
8/10/23,153.56,,,,,
8/9/23,153.79,,,,,
8/8/23,155.88,,,,,
8/7/23,156.76,,,,,
8/4/23,156.02,,,,,
8/3/23,156.35,,,,,
8/2/23,155.4,,,,,
8/1/23,157.18,,,,,
7/31/23,157.96,,,,,
7/28/23,156.91,,,,,
7/27/23,156.02,,,,,
7/26/23,157.76,,,,,
7/25/23,156.82,,,,,
7/24/23,158,,,,,
7/21/23,154.95,,,,,
7/20/23,156.15,,,,,
7/19/23,154.25,,,,,
7/18/23,153.66,,,,,
7/17/23,153.38,,,,,
