Date,Price,,,,,
3/8/24,87.04,,,,,
3/7/24,86.14,,,,,
3/6/24,85.66,,,,,
3/5/24,89.13,,,,,
3/4/24,90.04,,,,,
3/1/24,86.48,,,,,
2/29/24,86.04,,,,,
2/28/24,86.05,,,,,
2/27/24,85.49,,,,,
2/26/24,85.67,,,,,
2/23/24,86.55,,,,,
2/22/24,85.85,,,,,
2/21/24,85.46,,,,,
2/20/24,85.35,,,,,
2/16/24,86.5,,,,,
2/15/24,85.67,,,,,
2/14/24,84,,,,,
2/13/24,83.97,,,,,
2/12/24,86.87,,,,,
2/9/24,85.89,,,,,
2/8/24,85.65,,,,,
2/7/24,86,,,,,
2/6/24,86.1,,,,,
2/5/24,85.89,,,,,
2/2/24,87.27,,,,,
2/1/24,86.82,,,,,
1/31/24,87.24,,,,,
1/30/24,87.62,,,,,
1/29/24,87.62,,,,,
1/26/24,87.73,,,,,
1/25/24,88.02,,,,,
1/24/24,87.57,,,,,
1/23/24,86.74,,,,,
1/22/24,85.73,,,,,
1/19/24,85.34,,,,,
1/18/24,83.9,,,,,
1/17/24,84.41,,,,,
1/16/24,85.97,,,,,
1/12/24,89.7,,,,,
1/11/24,90.51,,,,,
1/10/24,91.48,,,,,
1/9/24,92.06,,,,,
1/8/24,93.51,,,,,
1/5/24,93.24,,,,,
1/4/24,92.15,,,,,
1/3/24,91.91,,,,,
1/2/24,93.9,,,,,
12/29/23,93.25,,,,,
12/28/23,93.64,,,,,
12/27/23,93.66,,,,,
12/26/23,92.84,,,,,
12/22/23,92.41,,,,,
12/21/23,92.63,,,,,
12/20/23,91.14,,,,,
12/19/23,91.92,,,,,
12/18/23,90.76,,,,,
12/15/23,91.58,,,,,
12/14/23,91.04,,,,,
12/13/23,85.63,,,,,
12/12/23,83.6,,,,,
12/11/23,82.82,,,,,
12/8/23,82.28,,,,,
12/7/23,80.35,,,,,
12/6/23,79.41,,,,,
12/5/23,80.17,,,,,
12/4/23,81.21,,,,,
12/1/23,80.89,,,,,
11/30/23,79.34,,,,,
11/29/23,78.55,,,,,
11/28/23,76.88,,,,,
11/27/23,77.95,,,,,
11/24/23,78.65,,,,,
11/22/23,78.49,,,,,
11/21/23,78.47,,,,,
11/20/23,79.7,,,,,
11/17/23,80.28,,,,,
11/16/23,79.66,,,,,
11/15/23,79.68,,,,,
11/14/23,78.31,,,,,
11/13/23,75.04,,,,,
11/10/23,75.33,,,,,
11/9/23,74.19,,,,,
11/8/23,75.97,,,,,
11/7/23,75.51,,,,,
11/6/23,75.92,,,,,
11/3/23,76.26,,,,,
11/2/23,73.46,,,,,
11/1/23,70.95,,,,,
10/31/23,70.82,,,,,
10/30/23,70.59,,,,,
10/27/23,70.4,,,,,
10/26/23,72.07,,,,,
10/25/23,71.4,,,,,
10/24/23,71.56,,,,,
10/23/23,71.7,,,,,
10/20/23,73.13,,,,,
10/19/23,72.92,,,,,
10/18/23,74.88,,,,,
10/17/23,80.33,,,,,
10/16/23,78.73,,,,,
10/13/23,77.79,,,,,
10/12/23,77.81,,,,,
10/11/23,78.9,,,,,
10/10/23,80.13,,,,,
10/9/23,79.91,,,,,
10/6/23,80.33,,,,,
10/5/23,79.15,,,,,
10/4/23,79.09,,,,,
10/3/23,78.02,,,,,
10/2/23,80.41,,,,,
9/29/23,81.67,,,,,
9/28/23,82.19,,,,,
9/27/23,81.65,,,,,
9/26/23,82.17,,,,,
9/25/23,83.03,,,,,
9/22/23,83.29,,,,,
9/21/23,84.88,,,,,
9/20/23,87.14,,,,,
9/19/23,88.51,,,,,
9/18/23,88.71,,,,,
9/15/23,88.41,,,,,
9/14/23,89.07,,,,,
9/13/23,87.25,,,,,
9/12/23,85.55,,,,,
9/11/23,83.51,,,,,
9/8/23,84.92,,,,,
9/7/23,83.84,,,,,
9/6/23,84.16,,,,,
9/5/23,84.84,,,,,
9/1/23,85.75,,,,,
8/31/23,85.15,,,,,
8/30/23,85.26,,,,,
8/29/23,85.55,,,,,
8/28/23,84.38,,,,,
8/25/23,83.22,,,,,
8/24/23,83.44,,,,,
8/23/23,83.39,,,,,
8/22/23,82.98,,,,,
8/21/23,84.25,,,,,
8/18/23,84.89,,,,,
8/17/23,85.79,,,,,
8/16/23,85.99,,,,,
8/15/23,86.16,,,,,
8/14/23,87.33,,,,,
8/11/23,87.7,,,,,
8/10/23,87.64,,,,,
8/9/23,87.56,,,,,
8/8/23,88.47,,,,,
8/7/23,89.08,,,,,
8/4/23,88.79,,,,,
8/3/23,89.14,,,,,
8/2/23,89.32,,,,,
8/1/23,90.94,,,,,
7/31/23,91.56,,,,,
7/28/23,91.57,,,,,
7/27/23,92.75,,,,,
7/26/23,93.54,,,,,
7/25/23,94.42,,,,,
7/24/23,94.67,,,,,
7/21/23,94.01,,,,,
7/20/23,93.8,,,,,
7/19/23,93.16,,,,,
7/18/23,91.94,,,,,
7/17/23,86.37,,,,,
7/14/23,85.78,,,,,
7/13/23,86.21,,,,,
7/12/23,85.77,,,,,
7/11/23,84.96,,,,,
7/10/23,83.4,,,,,
