"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2024","513.14","495.13","515.68","494.96","38.20M","4.52%"
"01/05/2024","490.97","484.62","495.47","483.06","41.50M","2.29%"
"01/04/2024","479.98","477.67","485.00","475.08","30.44M","0.90%"
"01/03/2024","475.69","474.85","481.84","473.20","31.82M","-1.24%"
"01/02/2024","481.68","492.44","492.95","475.95","40.84M","-2.73%"
"12/29/2023","495.22","498.13","499.97","487.51","38.93M","0.00%"
"12/28/2023","495.22","496.43","498.84","494.12","24.44M","0.21%"
"12/27/2023","494.17","495.11","496.80","490.85","23.22M","0.28%"
"12/26/2023","492.79","489.68","496.00","489.60","24.28M","0.92%"
"12/22/2023","488.30","491.95","493.83","484.67","25.25M","-0.33%"
"12/21/2023","489.90","488.11","490.95","484.19","29.92M","1.83%"
"12/20/2023","481.11","496.55","499.99","480.98","39.40M","-3.01%"
"12/19/2023","496.04","494.24","497.00","488.95","46.31M","-0.94%"
"12/18/2023","500.77","494.00","504.33","491.50","41.26M","2.43%"
"12/15/2023","488.90","481.94","494.04","481.20","47.99M","1.12%"
"12/14/2023","483.50","483.90","486.70","474.22","38.16M","0.54%"
"12/13/2023","480.88","476.29","485.94","476.08","43.61M","0.90%"
"12/12/2023","476.57","460.46","476.66","460.46","36.99M","2.21%"
"12/11/2023","466.27","474.91","475.31","458.30","50.11M","-1.85%"
"12/08/2023","475.06","465.95","477.41","465.50","35.92M","1.95%"
"12/07/2023","465.96","457.00","466.29","456.04","34.17M","2.40%"
"12/06/2023","455.03","472.14","473.87","454.12","38.06M","-2.28%"
"12/05/2023","465.66","454.66","466.00","452.71","36.22M","2.32%"
"12/04/2023","455.10","460.77","460.77","450.10","42.88M","-2.68%"
"12/01/2023","467.65","465.25","472.00","461.87","36.93M","-0.01%"
"11/30/2023","467.70","480.24","481.10","464.22","52.04M","-2.85%"
"11/29/2023","481.40","483.79","487.62","478.60","36.04M","0.67%"
"11/28/2023","478.21","482.36","483.23","474.73","38.95M","-0.87%"
"11/27/2023","482.42","478.00","485.30","476.52","39.39M","0.98%"
"11/24/2023","477.76","484.70","489.21","477.45","29.38M","-1.93%"
"11/22/2023","487.16","498.52","503.35","476.90","90.06M","-2.46%"
"11/21/2023","499.44","501.26","505.17","492.22","56.57M","-0.92%"
"11/20/2023","504.09","493.12","505.48","491.81","41.61M","2.25%"
"11/17/2023","492.98","495.24","497.17","490.07","32.59M","-0.37%"
"11/16/2023","494.80","486.79","495.25","483.30","33.48M","1.21%"
"11/15/2023","488.88","499.35","499.60","482.00","47.13M","-1.55%"
"11/14/2023","496.56","496.80","498.34","490.40","41.35M","2.13%"
"11/13/2023","486.20","483.20","491.16","480.99","38.18M","0.59%"
"11/10/2023","483.35","475.00","484.72","472.83","42.24M","2.95%"
"11/09/2023","469.50","474.67","482.30","467.50","53.44M","0.81%"
"11/08/2023","465.74","461.00","468.67","459.68","34.44M","1.35%"
"11/07/2023","459.55","457.19","462.18","451.58","34.14M","0.45%"
"11/06/2023","457.51","452.85","459.35","448.99","39.89M","1.66%"
"11/03/2023","450.05","440.20","453.09","437.23","42.46M","3.45%"
"11/02/2023","435.06","433.28","438.84","428.94","39.82M","2.79%"
"11/01/2023","423.25","408.84","423.81","408.69","43.76M","3.79%"
"10/31/2023","407.80","404.50","408.79","392.30","51.38M","-0.93%"
"10/30/2023","411.61","410.87","422.82","404.81","38.31M","1.63%"
"10/27/2023","405.00","411.30","412.06","400.15","41.68M","0.43%"
"10/26/2023","403.26","418.53","422.56","398.80","53.15M","-3.48%"
"10/25/2023","417.79","433.98","436.50","415.55","38.40M","-4.31%"
"10/24/2023","436.63","430.77","436.97","426.91","38.37M","1.60%"
"10/23/2023","429.75","412.29","432.48","409.45","47.29M","3.84%"
"10/20/2023","413.87","418.90","424.70","410.78","47.73M","-1.70%"
"10/19/2023","421.01","428.11","432.97","418.82","48.97M","-0.23%"
"10/18/2023","421.96","425.91","432.19","418.25","62.31M","-3.96%"
"10/17/2023","439.38","440.00","447.54","424.80","80.76M","-4.68%"
"10/16/2023","460.95","450.63","462.25","449.12","37.10M","1.39%"
"10/13/2023","454.61","469.60","471.16","452.80","47.54M","-3.16%"
"10/12/2023","469.45","467.77","476.09","463.30","47.98M","0.30%"
"10/11/2023","468.06","461.96","468.59","460.50","37.48M","2.20%"
"10/10/2023","457.98","453.10","462.59","450.88","35.96M","1.16%"
"10/09/2023","452.73","448.42","456.05","443.68","40.97M","-1.07%"
"10/06/2023","457.62","441.93","457.89","440.26","43.44M","2.40%"
