"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2024","239.61","235.96","239.98","235.34","48.62M","0.89%"
"01/05/2024","237.49","236.86","240.12","234.90","92.49M","-0.18%"
"01/04/2024","237.93","239.25","242.70","237.73","102.23M","-0.22%"
"01/03/2024","238.45","244.98","245.68","236.32","120.51M","-4.01%"
"01/02/2024","248.42","250.08","251.25","244.41","104.07M","-0.02%"
"12/29/2023","248.48","255.10","255.19","247.43","100.89M","-1.86%"
"12/28/2023","253.18","263.66","265.13","252.71","112.53M","-3.16%"
"12/27/2023","261.44","258.35","263.34","257.52","105.86M","1.88%"
"12/26/2023","256.61","254.49","257.97","252.91","86.64M","1.61%"
"12/22/2023","252.54","256.76","258.22","251.37","93.37M","-0.77%"
"12/21/2023","254.50","251.90","254.80","248.55","108.96M","2.98%"
"12/20/2023","247.14","256.41","259.84","247.00","124.13M","-3.92%"
"12/19/2023","257.22","253.48","258.34","253.01","106.29M","2.04%"
"12/18/2023","252.08","253.78","258.74","251.36","116.42M","-0.56%"
"12/15/2023","253.50","251.21","254.13","248.30","135.93M","0.98%"
"12/14/2023","251.05","241.22","253.88","240.79","160.12M","4.91%"
"12/13/2023","239.29","234.19","240.30","228.20","145.29M","0.96%"
"12/12/2023","237.01","238.55","238.99","233.87","94.92M","-1.14%"
"12/11/2023","239.74","242.74","243.44","237.45","97.62M","-1.68%"
"12/08/2023","243.84","240.27","245.27","239.27","103.13M","0.49%"
"12/07/2023","242.64","241.55","244.08","236.98","106.73M","1.37%"
"12/06/2023","239.37","242.92","246.57","239.17","126.44M","0.27%"
"12/05/2023","238.72","233.87","246.66","233.70","137.40M","1.33%"
"12/04/2023","235.58","235.75","239.37","233.29","103.81M","-1.36%"
"12/01/2023","238.83","233.14","240.19","231.90","121.33M","-0.52%"
"11/30/2023","240.08","245.14","245.22","236.91","129.35M","-1.66%"
"11/29/2023","244.14","249.21","252.75","242.76","134.65M","-1.05%"
"11/28/2023","246.72","236.68","247.00","234.01","147.24M","4.51%"
"11/27/2023","236.08","236.89","238.33","232.10","111.51M","0.27%"
"11/24/2023","235.45","233.75","238.75","232.33","65.03M","0.53%"
"11/22/2023","234.21","242.04","244.01","231.40","118.12M","-2.90%"
"11/21/2023","241.20","235.04","243.62","233.34","122.29M","2.38%"
"11/20/2023","235.60","234.04","237.10","231.02","116.56M","0.55%"
"11/17/2023","234.30","232.00","237.39","226.54","142.77M","0.30%"
"11/16/2023","233.59","239.49","240.88","230.96","135.46M","-3.81%"
"11/15/2023","242.84","239.29","246.70","236.45","149.64M","2.29%"
"11/14/2023","237.41","235.03","238.13","230.72","147.56M","6.12%"
"11/13/2023","223.71","215.60","225.40","211.61","138.76M","4.22%"
"11/10/2023","214.65","210.03","215.38","205.69","131.31M","2.22%"
"11/09/2023","209.98","219.75","220.80","206.68","141.30M","-5.46%"
"11/08/2023","222.11","223.15","224.15","217.64","105.60M","-0.03%"
"11/07/2023","222.18","219.98","223.12","215.72","116.02M","1.33%"
"11/06/2023","219.27","223.98","226.32","215.00","116.55M","-0.31%"
"11/03/2023","219.96","221.15","226.37","218.40","119.54M","0.66%"
"11/02/2023","218.51","212.97","219.20","211.45","124.39M","6.25%"
"11/01/2023","205.66","204.04","205.99","197.85","121.66M","2.40%"
"10/31/2023","200.84","196.12","202.80","194.07","117.59M","1.76%"
"10/30/2023","197.36","209.28","210.88","194.67","135.52M","-4.79%"
"10/27/2023","207.30","210.60","212.41","205.77","94.88M","0.75%"
"10/26/2023","205.76","211.32","214.80","204.88","113.83M","-3.14%"
"10/25/2023","212.42","215.88","220.10","212.20","105.41M","-1.89%"
"10/24/2023","216.52","216.50","222.05","214.11","117.48M","2.09%"
"10/23/2023","212.08","210.00","216.98","202.51","149.25M","0.04%"
"10/20/2023","211.99","217.01","218.86","210.42","138.01M","-3.69%"
"10/19/2023","220.11","225.95","230.61","216.78","169.09M","-9.30%"
"10/18/2023","242.68","252.70","254.63","242.08","114.65M","-4.78%"
"10/17/2023","254.85","250.10","257.18","247.08","93.30M","0.37%"
"10/16/2023","253.92","250.05","255.40","248.48","88.63M","1.12%"
"10/13/2023","251.12","258.90","259.60","250.22","102.30M","-2.99%"
"10/12/2023","258.87","262.92","265.41","256.63","111.51M","-1.57%"
"10/11/2023","262.99","266.20","268.60","260.90","103.39M","-0.24%"
"10/10/2023","263.62","257.75","268.94","257.65","122.10M","1.52%"
"10/09/2023","259.67","255.31","261.36","252.05","101.38M","-0.33%"
"10/06/2023","260.53","253.98","261.65","250.65","118.12M","0.18%"
"10/05/2023","260.05","260.00","263.60","256.25","118.78M","-0.43%"
"10/04/2023","261.16","248.14","261.86","247.60","128.88M","5.93%"
"10/03/2023","246.53","248.61","250.02","244.45","101.52M","-2.02%"
"10/02/2023","251.60","244.81","254.28","242.62","123.81M","0.55%"
"09/29/2023","250.22","250.00","254.77","246.35","128.52M","1.56%"
"09/28/2023","246.38","240.02","247.55","238.65","116.51M","2.44%"
"09/27/2023","240.50","244.26","245.33","234.58","136.06M","-1.48%"
"09/26/2023","244.12","242.98","249.55","241.66","101.53M","-1.16%"
"09/25/2023","246.99","243.38","247.10","238.31","104.09M","0.86%"
"09/22/2023","244.88","257.40","257.79","244.48","127.52M","-4.23%"
"09/21/2023","255.70","257.85","260.86","254.21","119.13M","-2.62%"
"09/20/2023","262.59","267.04","273.93","262.46","121.79M","-1.47%"
"09/19/2023","266.50","264.35","267.85","261.20","103.16M","0.46%"
"09/18/2023","265.28","271.16","271.44","263.76","100.73M","-3.32%"
"09/15/2023","274.39","277.55","278.98","271.00","133.69M","-0.60%"
"09/14/2023","276.04","271.32","276.71","270.42","107.09M","1.75%"
"09/13/2023","271.30","270.07","274.98","268.10","111.17M","1.43%"
"09/12/2023","267.48","270.76","278.39","266.60","135.44M","-2.23%"
"09/11/2023","273.58","264.27","274.85","260.61","173.39M","10.09%"
"09/08/2023","248.50","251.22","256.52","246.67","118.56M","-1.19%"
"09/07/2023","251.49","245.07","252.81","243.26","114.03M","-0.17%"
"09/06/2023","251.92","255.13","255.39","245.06","116.51M","-1.78%"
"09/05/2023","256.49","245.00","258.00","244.86","128.78M","4.69%"
"09/01/2023","245.01","257.26","259.08","242.01","132.54M","-5.06%"
"08/31/2023","258.08","255.98","261.18","255.05","108.14M","0.46%"
"08/30/2023","256.90","254.20","260.51","250.59","121.66M","-0.11%"
