Date,Price,,,,,
3/8/24,57.07,,,,,
3/7/24,57,,,,,
3/6/24,57.11,,,,,
3/5/24,56.6,,,,,
3/4/24,55.81,,,,,
3/1/24,55.06,,,,,
2/29/24,55.59,,,,,
2/28/24,54.72,,,,,
2/27/24,54.81,,,,,
2/26/24,54.13,,,,,
2/23/24,53.86,,,,,
2/22/24,53.37,,,,,
2/21/24,52.66,,,,,
2/20/24,51.77,,,,,
2/16/24,51.91,,,,,
2/15/24,52.04,,,,,
2/14/24,48.53,,,,,
2/13/24,48.24,,,,,
2/12/24,48.92,,,,,
2/9/24,48.06,,,,,
2/8/24,48.35,,,,,
2/7/24,48.48,,,,,
2/6/24,48.29,,,,,
2/5/24,48.7,,,,,
2/2/24,49.16,,,,,
2/1/24,48.73,,,,,
1/31/24,50.18,,,,,
1/30/24,51.19,,,,,
1/29/24,50.35,,,,,
1/26/24,50.32,,,,,
1/25/24,49.88,,,,,
1/24/24,49.49,,,,,
1/23/24,49.12,,,,,
1/22/24,48.53,,,,,
1/19/24,48.12,,,,,
1/18/24,46.44,,,,,
1/17/24,46.67,,,,,
1/16/24,46.82,,,,,
1/12/24,47.4,,,,,
1/11/24,49.04,,,,,
1/10/24,49.08,,,,,
1/9/24,49.29,,,,,
1/8/24,49.92,,,,,
1/5/24,49.92,,,,,
1/4/24,49.28,,,,,
1/3/24,48.68,,,,,
1/2/24,49.33,,,,,
12/29/23,49.22,,,,,
12/28/23,49.48,,,,,
12/27/23,49.33,,,,,
12/26/23,49.64,,,,,
12/22/23,49.18,,,,,
12/21/23,49.45,,,,,
12/20/23,49.34,,,,,
12/19/23,50.09,,,,,
12/18/23,49.66,,,,,
12/15/23,50.31,,,,,
12/14/23,50.51,,,,,
12/13/23,47.76,,,,,
12/12/23,46.47,,,,,
12/11/23,46,,,,,
12/8/23,46.1,,,,,
12/7/23,45.4,,,,,
12/6/23,44.5,,,,,
12/5/23,44.49,,,,,
12/4/23,45.12,,,,,
12/1/23,45.02,,,,,
11/30/23,44.59,,,,,
11/29/23,43.78,,,,,
11/28/23,43.37,,,,,
11/27/23,43.02,,,,,
11/24/23,42.92,,,,,
11/22/23,42.78,,,,,
11/21/23,42.6,,,,,
11/20/23,42.79,,,,,
11/17/23,42.96,,,,,
11/16/23,42.53,,,,,
11/15/23,42.84,,,,,
11/14/23,42.08,,,,,
11/13/23,40.77,,,,,
11/10/23,40.89,,,,,
11/9/23,40.4,,,,,
11/8/23,40.98,,,,,
11/7/23,41.04,,,,,
11/6/23,41.34,,,,,
11/3/23,41.62,,,,,
11/2/23,40.51,,,,,
11/1/23,39.61,,,,,
10/31/23,39.77,,,,,
10/30/23,39.43,,,,,
10/27/23,38.76,,,,,
10/26/23,39.65,,,,,
10/25/23,39.03,,,,,
10/24/23,39.28,,,,,
10/23/23,39.48,,,,,
10/20/23,40.27,,,,,
10/19/23,41.18,,,,,
10/18/23,41.53,,,,,
10/17/23,41.98,,,,,
10/16/23,41.65,,,,,
10/13/23,40.96,,,,,
10/12/23,39.74,,,,,
10/11/23,39.69,,,,,
10/10/23,39.82,,,,,
10/9/23,39.7,,,,,
10/6/23,39.69,,,,,
10/5/23,39.3,,,,,
10/4/23,38.97,,,,,
10/3/23,38.67,,,,,
10/2/23,39.61,,,,,
9/29/23,40.86,,,,,
9/28/23,40.91,,,,,
9/27/23,40.86,,,,,
9/26/23,40.65,,,,,
9/25/23,41.56,,,,,
9/22/23,41.23,,,,,
9/21/23,42.32,,,,,
9/20/23,42.87,,,,,
9/19/23,43.22,,,,,
9/18/23,43.43,,,,,
9/15/23,42.95,,,,,
9/14/23,43.05,,,,,
9/13/23,42.25,,,,,
9/12/23,42.54,,,,,
9/11/23,41.33,,,,,
9/8/23,41,,,,,
9/7/23,40.43,,,,,
9/6/23,41.02,,,,,
9/5/23,41.54,,,,,
9/1/23,41.65,,,,,
8/31/23,41.29,,,,,
8/30/23,41.54,,,,,
8/29/23,42,,,,,
8/28/23,41.88,,,,,
8/25/23,41.23,,,,,
8/24/23,41.43,,,,,
8/23/23,41.61,,,,,
8/22/23,41.5,,,,,
8/21/23,42.49,,,,,
8/18/23,42.5,,,,,
8/17/23,42.47,,,,,
8/16/23,42.22,,,,,
8/15/23,42.73,,,,,
8/14/23,43.74,,,,,
8/11/23,43.73,,,,,
8/10/23,43.67,,,,,
8/9/23,43.72,,,,,
8/8/23,44.48,,,,,
8/7/23,45.06,,,,,
8/4/23,44.85,,,,,
8/3/23,45.15,,,,,
8/2/23,45.1,,,,,
8/1/23,45.71,,,,,
7/31/23,46.16,,,,,
7/28/23,46.14,,,,,
7/27/23,45.77,,,,,
7/26/23,46.44,,,,,
7/25/23,45.48,,,,,
7/24/23,46.42,,,,,
7/21/23,45.96,,,,,
7/20/23,47.13,,,,,
7/19/23,46.26,,,,,
7/18/23,45.6,,,,,
7/17/23,44.74,,,,,
7/14/23,43.56,,,,,
7/13/23,43.71,,,,,
7/12/23,43.26,,,,,
7/11/23,42.74,,,,,
7/10/23,42.32,,,,,
7/7/23,42.77,,,,,
7/6/23,42.89,,,,,
7/5/23,43.48,,,,,
7/3/23,43.4,,,,,
6/30/23,42.68,,,,,
6/29/23,42.45,,,,,
6/28/23,40.62,,,,,
6/27/23,40.91,,,,,
6/26/23,40.59,,,,,
6/23/23,40.61,,,,,
6/22/23,41.06,,,,,
6/21/23,41.65,,,,,
6/20/23,41.89,,,,,
6/16/23,42.18,,,,,
6/15/23,42.36,,,,,
6/14/23,42.08,,,,,
6/13/23,42.65,,,,,
6/12/23,41.83,,,,,
6/9/23,42.13,,,,,
6/8/23,42.37,,,,,
6/7/23,42.07,,,,,
6/6/23,41.26,,,,,
6/5/23,40.45,,,,,
6/2/23,41.24,,,,,
6/1/23,40.06,,,,,
5/31/23,39.81,,,,,
5/30/23,40.98,,,,,
5/26/23,41.23,,,,,
5/25/23,40.9,,,,,
5/24/23,40.87,,,,,
5/23/23,41.21,,,,,
5/22/23,40.98,,,,,
5/19/23,40.03,,,,,
5/18/23,40.21,,,,,
5/17/23,40.46,,,,,
5/16/23,38.39,,,,,
5/15/23,38.77,,,,,
5/12/23,37.49,,,,,
5/11/23,38.33,,,,,
5/10/23,38.28,,,,,
5/9/23,38.54,,,,,
5/8/23,38.38,,,,,
5/5/23,37.94,,,,,
5/4/23,36.72,,,,,
5/3/23,38.65,,,,,
5/2/23,38.84,,,,,
5/1/23,40.39,,,,,
4/28/23,39.75,,,,,
4/27/23,39.66,,,,,
4/26/23,39.46,,,,,
4/25/23,40.55,,,,,
4/24/23,41.45,,,,,
4/21/23,41.24,,,,,
4/20/23,41.67,,,,,
4/19/23,42.24,,,,,
4/18/23,41.87,,,,,
4/17/23,41.3,,,,,
4/14/23,39.64,,,,,
4/13/23,39.66,,,,,
4/12/23,39.19,,,,,
4/11/23,39.37,,,,,
4/10/23,38.63,,,,,
4/6/23,37.9,,,,,
4/5/23,36.89,,,,,
4/4/23,36.81,,,,,
4/3/23,37.72,,,,,
3/31/23,37.38,,,,,
3/30/23,37.38,,,,,
3/29/23,37.97,,,,,
3/28/23,37.18,,,,,
3/27/23,37.47,,,,,
3/24/23,36.23,,,,,
3/23/23,36.61,,,,,
3/22/23,37.2,,,,,
3/21/23,38.48,,,,,
3/20/23,37.48,,,,,
3/17/23,37.76,,,,,
3/16/23,39.3,,,,,
3/15/23,38.85,,,,,
3/14/23,40.17,,,,,
3/13/23,38.41,,,,,
3/10/23,41.36,,,,,
3/9/23,41.13,,,,,
3/8/23,43.84,,,,,
3/7/23,44.45,,,,,
3/6/23,46.63,,,,,
3/3/23,46.85,,,,,
